"method","model","benchmark","model_key","mask_type","budget","requested_budget","effective_budget","budget_repaired","mask_id","converged","reason","n_obs","n_test","n_total","P","J","n_params","ridge_lambda","intercept_ridge","max_iter","tol","iterations","final_loss","gradient_norm","train_log_loss","train_brier","test_log_loss","test_brier","true_avg","true_sd","true_min","true_q25","true_q50","true_q75","true_max","pred_avg","pred_sd","pred_min","pred_q25","pred_q50","pred_q75","pred_max","alpha","prompt_eff_mean","prompt_eff_sd","item_diff_mean","item_diff_sd","score_rule","w1","mean_abs_error","prompt_mae","prompt_rmse","q25_abs_error","q50_abs_error","q75_abs_error"
"pe_rasch","prompteval_rasch_onehot","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","10","True","CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH","500","4500","5000","50","100","151","1e-06","0.0","1000","1e-07","113","44.97109540960278","0.009596394425488059","0.08986912644134158","0.02967343361335512","1.670460687051217","0.14487470576611702","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6993450450581686","0.11697117149482636","0.3146174640502648","0.6091062660200014","0.7073211218719802","0.7982864543072964","0.8793781442366082","12.834180652254714","-2.7977620220553945e-16","12.624563004703742","-1.0658141036401502e-16","25.674166314959983","observed_true_unobserved_fitted_probability_imputation","0.06400621464506424","0.0101450450581686","0.08608389462761552","0.10938220112301637","0.050893733979998634","0.007321121871980196","0.08828645430729642"
"pe_rasch","prompteval_rasch_onehot","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","11","True","CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH","500","4500","5000","50","100","151","1e-06","0.0","1000","1e-07","96","53.219481140997665","0.00812184285156518","0.10637810803519646","0.03298197131169291","1.550575279103442","0.1393457886947755","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.7125081748240959","0.11236270335656268","0.4692295216986364","0.6379179585731359","0.7174724127408328","0.8249586123525217","0.9692964400190934","11.754330294956851","1.4210854715202004e-16","12.621642862241382","8.526512829121202e-16","23.14886065226144","observed_true_unobserved_fitted_probability_imputation","0.06464723631821964","0.023308174824095862","0.08393899251042106","0.10245566986767289","0.022082041426864096","0.017472412740832888","0.1149586123525217"
"pe_rasch","prompteval_rasch_onehot","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","12","True","CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH","500","4500","5000","50","100","151","1e-06","0.0","1000","1e-07","679","31.442642865665388","0.019724266191928227","0.06275980773675612","0.021808381393404404","2.1287514066220887","0.169125124412775","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6647431040977776","0.1554584128727086","0.2699124904191247","0.5923971113419416","0.6755430945255496","0.7584092647725652","0.9782846796347177","15.43417033101122","-7.105427357601002e-17","21.28590628939717","-2.842170943040401e-16","32.298908240361115","observed_true_unobserved_fitted_probability_imputation","0.0850004964803441","0.024456895902222442","0.10303189964190208","0.13994714801110528","0.06760288865805841","0.02445690547445034","0.04840926477256524"
"pe_rasch","prompteval_rasch_onehot","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","13","True","CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH","500","4500","5000","50","100","151","1e-06","0.0","1000","1e-07","578","25.58020023955128","0.002502707275165884","0.05100642085535102","0.0178653962061177","2.2329280827805196","0.1611987522703749","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.674321973047126","0.15426584480607422","0.16598905895307806","0.6299186640421329","0.6976841480145431","0.759378538759455","0.9799226836625442","16.52540027199314","7.105427357601002e-16","23.138858852750744","-2.1316282072803005e-16","35.92166453930592","observed_true_unobserved_fitted_probability_imputation","0.06823189168149485","0.01487802695287399","0.09758687182114402","0.15043078520272932","0.030081335957867106","0.002315851985456807","0.04937853875945508"
"pe_rasch","prompteval_rasch_onehot","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","14","True","CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH","500","4500","5000","50","100","151","1e-06","0.0","1000","1e-07","107","39.59975855009098","0.003377325992726272","0.07912001686106607","0.02461704680145941","1.613227556512252","0.14341499602487795","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6735624809890709","0.1337878622120068","0.04217004312049874","0.6059628422611931","0.6656391199698946","0.7484053477570629","0.987796459473162","11.30422571944716","1.509903313490213e-16","13.9415185874539","1.3855583347321954e-15","26.586978770276186","observed_true_unobserved_fitted_probability_imputation","0.06429646607001818","0.015637519010929135","0.08138181334297269","0.12053130681540743","0.05403715773880691","0.0343608800301054","0.038405347757062946"
"pe_rasch","prompteval_rasch_onehot","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","15","True","CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH","500","4500","5000","50","100","151","1e-06","0.0","1000","1e-07","109","40.53356558459565","0.002633243608865498","0.08097326657847284","0.027236580801439873","1.782220551913328","0.15603477392644022","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6884165439760753","0.12211797278370706","0.192883643181958","0.6128778134315569","0.6884290630476769","0.7710478771661105","0.9407574536524776","13.30774190976525","-2.609024107869118e-16","15.073204485163753","6.039613253960852e-16","28.908442006523753","observed_true_unobserved_fitted_probability_imputation","0.05909250099872129","0.0007834560239247113","0.09062769945706824","0.11584228401089199","0.047122186568443136","0.01157093695232303","0.06104787716611049"
"pe_rasch","prompteval_rasch_onehot","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","16","True","CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH","500","4500","5000","50","100","151","1e-06","0.0","1000","1e-07","50","35.60206739413177","0.0029509254175517346","0.07112839509811703","0.02369936219431641","1.768606052690481","0.14236961881795776","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.7037530661612496","0.11239424888470426","0.4233309488237272","0.6269030895158635","0.7151067714455105","0.8024408756586701","0.8405540662666027","12.842548948589068","1.7763568394002505e-17","14.553963636594471","8.881784197001252e-16","25.69493320575965","observed_true_unobserved_fitted_probability_imputation","0.06683906570718373","0.014553066161249517","0.0859109468957672","0.09949715819399808","0.033096910484136544","0.015106771445510536","0.0924408756586701"
"pe_rasch","prompteval_rasch_onehot","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","17","True","CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH","500","4500","5000","50","100","151","1e-06","0.0","1000","1e-07","174","35.136150357619194","0.005676955125374505","0.0702041022495911","0.022950927367069274","1.8502385465767963","0.15575830085939443","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.7132370466968417","0.1330627100310745","0.12049485340933613","0.6634887275166582","0.7415691414629204","0.8106273492222017","0.9212838623865561","13.189795706018426","7.105427357601002e-17","13.46349906037931","-3.1974423109204507e-16","24.47812818379744","observed_true_unobserved_fitted_probability_imputation","0.07584486460766872","0.024037046696841702","0.09410670368598144","0.12483281363560762","0.0034887275166581855","0.041569141462920456","0.10062734922220173"
"pe_rasch","prompteval_rasch_onehot","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","18","True","CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH","500","4500","5000","50","100","151","1e-06","0.0","1000","1e-07","62","54.20788278525847","0.008052938654369722","0.1083419791539857","0.03438738727167104","1.6440418527550305","0.15137572145003225","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6778373573738977","0.13095876945532864","0.1750323610740033","0.6262163616109349","0.69353140245706","0.7574939695868099","0.8685465591369851","10.59919093609079","-5.062616992290713e-16","12.355332992961543","-5.329070518200751e-16","25.880398542526727","observed_true_unobserved_fitted_probability_imputation","0.06490468115031399","0.011362642626102315","0.08607900614562652","0.11864739980620247","0.033783638389065174","0.006468597542939936","0.04749396958680996"
"pe_rasch","prompteval_rasch_onehot","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","19","True","CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH","500","4500","5000","50","100","151","1e-06","0.0","1000","1e-07","62","55.470325662498105","0.0032257042794721557","0.11089971354857768","0.03570214220684323","1.2866196782851418","0.12804177897052635","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.7008319895705568","0.1030154081747958","0.4347673088937529","0.6473010164226234","0.6903759449643507","0.7992869642980645","0.9998042547748293","8.189221413906155","-2.842170943040401e-16","9.284702205845754","6.750155989720952e-16","19.258247810877958","observed_true_unobserved_fitted_probability_imputation","0.05040251470071613","0.011631989570556778","0.07215157718525889","0.0935424414159999","0.012698983577376644","0.009624055035649226","0.08928696429806449"
