"method","model","benchmark","model_key","mask_type","budget","requested_budget","effective_budget","budget_repaired","mask_id","sampler","converged","reason","n_obs","n_test","n_total","P","J","draws","tune","chains","hdi_prob","max_saved_draws","target_accept","sigma_intercept","tau","alpha_mean","sigma_a_mean","sigma_b_mean","max_rhat","min_ess_bulk","train_log_loss","train_brier","test_log_loss","test_brier","true_avg","true_sd","true_min","true_q25","true_q50","true_q75","true_max","pred_avg","pred_sd","pred_min","pred_q25","pred_q50","pred_q75","pred_max","score_rule","avg_ci95_low","avg_post_median","avg_ci95_high","cover_avg","avg_ci95_width","sd_ci95_low","sd_post_median","sd_ci95_high","cover_sd","sd_ci95_width","min_ci95_low","min_post_median","min_ci95_high","cover_min","min_ci95_width","q25_ci95_low","q25_post_median","q25_ci95_high","cover_q25","q25_ci95_width","q50_ci95_low","q50_post_median","q50_ci95_high","cover_q50","q50_ci95_width","q75_ci95_low","q75_post_median","q75_ci95_high","cover_q75","q75_ci95_width","max_ci95_low","max_post_median","max_ci95_high","cover_max","max_ci95_width"
"m2_bayesian_additive","m2_bayesian_additive_irt","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","nuts","True","ok","500","4500","5000","50","100","1000","1000","2","0.95","500","0.95","5.0","1.0","1.946","0.318","3.322","1.01","828.0","0.22456465579354745","0.06447764924631613","0.2958742174863753","0.08745659246410019","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6876265278530609","0.016025086721551514","0.6500578945260921","0.6764834165627157","0.6874700960626554","0.6977833102724342","0.7239877897262218","observed_true_unobserved_posterior_mean_imputation","0.6631369821889007","0.6864637266627365","0.7083842322910224","True","0.04524725010212172","0.008916769120064208","0.02482680103867484","0.06559829382565577","True","0.05668152470559156","0.5131263069081641","0.6294327499183178","0.6774365166164847","True","0.16431020970832066","0.6345007865856296","0.6683354423775685","0.6954386500070396","True","0.060937863421410055","0.6612247999716068","0.6864473749357065","0.7093956621007574","True","0.04817086212915067","0.677450311615528","0.7048309713249807","0.7373227611105322","True","0.05987244949500414","0.6944993999853141","0.7406737284213589","0.8356350293269029","True","0.14113562934158885"
"m2_bayesian_additive","m2_bayesian_additive_irt","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","1","nuts","True","ok","500","4500","5000","50","100","1000","1000","2","0.95","500","0.95","5.0","1.0","2.181","0.258","3.528","1.01","851.0","0.20379530655386863","0.05808783622565211","0.2939229273533755","0.08795146241677403","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6999201299580932","0.011390462515461778","0.6796690773007878","0.6925015941709737","0.6994746854706377","0.7065418440003232","0.7248799158723572","observed_true_unobserved_posterior_mean_imputation","0.6779128156641453","0.7000518441254775","0.7201643382032822","True","0.04225152253913689","0.007670742593378653","0.018834588820466243","0.04942275107678834","True","0.04175200848340969","0.5714644987300886","0.654017108281601","0.6958367593460879","True","0.12437226061599926","0.6567035644206588","0.6860142152665649","0.7124991192061099","True","0.05579555478545106","0.6759609582673285","0.6994953534043398","0.7206082904101975","True","0.04464733214286898","0.6889549688257358","0.7139088451975917","0.7421443114459051","True","0.05318934262016928","0.70619378597844","0.7427675337447127","0.8129738049302033","True","0.10678001895176337"
"m2_bayesian_additive","m2_bayesian_additive_irt","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","2","nuts","True","ok","500","4500","5000","50","100","1000","1000","2","0.95","500","0.95","5.0","1.0","1.806","0.368","3.232","1.01","753.0","0.23160144125064208","0.06602722649925268","0.2945849948470768","0.08735705785848105","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6835009793406271","0.019043945286368477","0.6381157735594755","0.6728640565183523","0.6797034874108143","0.697984761232356","0.7220549630272377","observed_true_unobserved_posterior_mean_imputation","0.6603552932648589","0.6841456436270776","0.705991089171283","True","0.04563579590642408","0.009429027705129246","0.030657608580669266","0.07445038548839163","True","0.06502135778326237","0.49538042453626","0.6168630126067626","0.6719181298360508","True","0.1765377052997908","0.6218938790399515","0.6626007820487254","0.6933339877923275","True","0.07144010875237594","0.6564462014265744","0.6843563294299528","0.7072650934914447","True","0.050818892064870336","0.6738396598277935","0.7050659630466001","0.7460958613244952","True","0.07225620149670176","0.6929480015630337","0.7524070932267295","0.85113489063929","True","0.15818688907625633"
"m2_bayesian_additive","m2_bayesian_additive_irt","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","3","nuts","True","ok","500","4500","5000","50","100","1000","1000","2","0.95","500","0.95","5.0","1.0","1.991","0.293","3.427","1.01","1049.0","0.21562364289457484","0.06153665383426397","0.30587927258374364","0.0903801810989605","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6928886961933516","0.013895796536028291","0.6677612527434892","0.6860692291265515","0.6918629294495084","0.7014284153139867","0.7420476128021695","observed_true_unobserved_posterior_mean_imputation","0.671212886586766","0.6933096349016752","0.7179653544577225","True","0.04675246787095644","0.008370815579633524","0.023641898290483937","0.058842126964700786","True","0.05047131138506726","0.5415279260618021","0.6419385451215478","0.689131511591125","True","0.14760358552932284","0.6446243428358692","0.6768956090252425","0.7052438609444982","True","0.06061951810862898","0.6690196943132978","0.6926556131878754","0.7187042399756827","True","0.049684545662384894","0.6821183799501271","0.710486831171191","0.7412213791414048","True","0.059102999191277705","0.7048133976732868","0.7474709843626962","0.8264563584688469","True","0.12164296079556014"
"m2_bayesian_additive","m2_bayesian_additive_irt","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","4","nuts","True","ok","500","4500","5000","50","100","1000","1000","2","0.95","500","0.95","5.0","1.0","1.916","0.425","3.251","1.01","635.0","0.22542011019033434","0.06405337192013393","0.29210312529123317","0.08742644586427248","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6939077941747606","0.02228211409689845","0.6321693283345531","0.6762681048451684","0.6948331095165827","0.7096113946377537","0.742315707298203","observed_true_unobserved_posterior_mean_imputation","0.6721935952897774","0.6932943127194464","0.7177301885283661","True","0.04553659323858872","0.009981514349536594","0.0339893757023972","0.07946527995320432","True","0.06948376560366773","0.48583280557789926","0.6153316678951617","0.6791614161084256","True","0.19332861053052636","0.6330518482531503","0.6719103314622794","0.7034646993399978","True","0.07041285108684747","0.671355451374082","0.6941934079680923","0.7207389512980487","True","0.04938349992396662","0.6883278216107147","0.7180571986544513","0.7561135747949893","True","0.0677857531842746","0.7078320384693685","0.7651334382836672","0.8553033498931175","True","0.14747131142374903"
"m2_bayesian_additive","m2_bayesian_additive_irt","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","5","nuts","True","ok","500","4500","5000","50","100","1000","1000","2","0.95","500","0.95","5.0","1.0","2.077","0.347","3.703","1.01","843.0","0.19186120929551947","0.05324449567176238","0.30027962623022286","0.08929989145049914","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.689305977301304","0.015398944665898182","0.6651472022070019","0.6781843769552945","0.6860264771224345","0.7018026826353659","0.7282529735398812","observed_true_unobserved_posterior_mean_imputation","0.6650685175536174","0.6901550065704072","0.709016691934491","True","0.04394817438087362","0.00866205930430181","0.024280301458839623","0.06004106647083797","True","0.051379007166536164","0.5387828407666497","0.6355902442194231","0.6825965288077875","True","0.1438136880411378","0.6331650525091684","0.673498328204245","0.6979307856846195","True","0.06476573317545109","0.6637677056039927","0.6896316447949815","0.708874993015763","True","0.04510728741177028","0.6795375254445231","0.7075715056743414","0.7376218508227341","True","0.058084325378211066","0.700634194330438","0.743386492418241","0.8209120557330815","True","0.1202778614026434"
"m2_bayesian_additive","m2_bayesian_additive_irt","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","6","nuts","True","ok","500","4500","5000","50","100","1000","1000","2","0.95","500","0.95","5.0","1.0","1.862","0.354","3.478","1.01","632.0","0.2135922029196758","0.060461186176929235","0.3300545559884761","0.09762743868967128","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6813605436674398","0.01708133145226784","0.6447063875945603","0.6680547835229647","0.6820732231940222","0.6891345202427759","0.7209049810945034","observed_true_unobserved_posterior_mean_imputation","0.6576115977072389","0.6806988780718262","0.7051259233238377","True","0.04751432561659885","0.009114846941753317","0.02696232186942249","0.06588987674286466","True","0.05677502980111134","0.5092885166793042","0.6203586034448343","0.672608260215538","True","0.1633197435362338","0.6280791646073888","0.6617508349768086","0.6910102521279952","True","0.06293108752060639","0.6552557865091244","0.6799628639620344","0.7067400965452301","True","0.05148431003610565","0.671053086421416","0.7006653414793147","0.7349757766941651","True","0.0639226902727491","0.6886020533865964","0.7388249701589131","0.8232027381496064","True","0.13460068476301001"
"m2_bayesian_additive","m2_bayesian_additive_irt","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","7","nuts","True","ok","500","4500","5000","50","100","1000","1000","2","0.95","500","0.95","5.0","1.0","1.948","0.338","3.531","1.01","750.0","0.20693095804774794","0.05825206691054218","0.30825477649461525","0.09212163877263602","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6877922357971155","0.01580145802433924","0.655013445201506","0.6765656320908804","0.6913197004735296","0.6973886359616137","0.7236408058612283","observed_true_unobserved_posterior_mean_imputation","0.6647964276716418","0.6873342035588408","0.7102697522258281","True","0.04547332455418629","0.008673599068588266","0.02582273501379084","0.062482677648807446","True","0.05380907858021918","0.5226592439094697","0.6278067998751458","0.6777409518011526","True","0.15508170789168285","0.6370494912523047","0.6700334475091405","0.6960698770824602","True","0.05902038583015545","0.6644398667586703","0.687901876432637","0.7108941598500914","True","0.04645429309142113","0.6786335986425351","0.7067247434867113","0.7405518852926734","True","0.06191828665013821","0.6977473815680032","0.7431668401511209","0.8132234342996288","True","0.11547605273162564"
"m2_bayesian_additive","m2_bayesian_additive_irt","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","8","nuts","True","ok","500","4500","5000","50","100","1000","1000","2","0.95","500","0.95","5.0","1.0","1.818","0.364","3.249","1.01","541.0","0.23424939534849404","0.06738206389824808","0.2997963416423092","0.08920176126320119","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6793639833117342","0.01927974338282023","0.6455142407473029","0.6664860044399928","0.6762612216368613","0.6950632513577015","0.7202448328710511","observed_true_unobserved_posterior_mean_imputation","0.6531261194518836","0.6799887463470107","0.7006405582064893","True","0.0475144387546057","0.009629689360975332","0.03062929582412075","0.07472467149163016","True","0.06509498213065483","0.4945788622284132","0.6094896833702224","0.6719061415190634","True","0.17732727929065017","0.6202483536388312","0.6571879449394002","0.6902323873876021","True","0.06998403374877082","0.6512842296014988","0.6797078649732202","0.7011893856328432","True","0.04990515603134438","0.6652260112531552","0.7024603449598279","0.7375725089133784","True","0.07234649766022327","0.6835562640856533","0.7448936390870939","0.839899105713774","True","0.15634284162812073"
"m2_bayesian_additive","m2_bayesian_additive_irt","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","9","nuts","True","ok","500","4500","5000","50","100","1000","1000","2","0.95","500","0.95","5.0","1.0","2.086","0.811","3.498","1.0","533.0","0.19488313153516656","0.052928277872877655","0.30694822508960007","0.0924157590959123","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6961700180987819","0.04292968254068001","0.5947527142242552","0.6692360720406784","0.7029167049779084","0.7301832772712521","0.767204772690078","observed_true_unobserved_posterior_mean_imputation","0.6711223529534109","0.6980009778780938","0.7184986756771452","True","0.047376322723734265","0.013484343926559585","0.06427705315228313","0.10993608022475757","True","0.09645173629819798","0.397969597945452","0.5436309646580878","0.6629624813339686","True","0.2649928833885166","0.6143333585991528","0.6579415684585347","0.693709218608544","True","0.07937586000939112","0.6683066719637526","0.6996309207620379","0.7264897068064269","True","0.058183034842674286","0.7005953507944197","0.7418091670695782","0.7841043273740003","True","0.08350897657958056","0.7257527316366498","0.823855273303028","0.912141856043462","True","0.1863891244068122"
"m2_bayesian_additive","m2_bayesian_additive_irt","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","10","nuts","True","ok","500","4500","5000","50","100","1000","1000","2","0.95","500","0.95","5.0","1.0","2.07","0.339","3.407","1.01","729.0","0.21500526978097667","0.061569861745687814","0.30035936145355674","0.08783008390481097","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6978035899392266","0.016763841645042073","0.6618922516575176","0.6871363839434461","0.6987064985315667","0.7103461629250745","0.7354037786521608","observed_true_unobserved_posterior_mean_imputation","0.6753412291795955","0.6979156131605582","0.7217519750422078","True","0.04641074586261229","0.009315114528420747","0.026691940987806327","0.06402228143342358","True","0.054707166905002824","0.5338134974547362","0.6391147399409371","0.6901667181896113","True","0.15635322073487512","0.6435676464355917","0.6804905360965139","0.7075736944098112","True","0.0640060479742195","0.6736694108721969","0.6980878766576302","0.7225285238697422","True","0.048859112997545306","0.6902715780718949","0.7182167236767618","0.7530056486292848","True","0.06273407055738989","0.7116190476379305","0.7572998798176587","0.8464470581731736","True","0.13482801053524307"
"m2_bayesian_additive","m2_bayesian_additive_irt","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","11","nuts","True","ok","500","4500","5000","50","100","1000","1000","2","0.95","500","0.95","5.0","1.0","2.047","0.268","3.108","1.01","876.0","0.23315065818750827","0.06710707176327","0.29979018883986797","0.0900356068930443","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.7162261736517926","0.013569245853212421","0.6857642714547858","0.707563317298719","0.7131095982352477","0.723910354400813","0.743997481003867","observed_true_unobserved_posterior_mean_imputation","0.6937168635681575","0.7163895850210924","0.7412129675965885","False","0.04749610402843096","0.008603238208788114","0.020902828222833993","0.057029386602592685","True","0.048426148393804574","0.5710628915592862","0.6665349474877135","0.7082750150606912","True","0.137212123501405","0.665914870457984","0.7016477282754763","0.7285697379216196","False","0.06265486746363558","0.693202194603373","0.7160203233051425","0.7401716543264839","True","0.04696945972311095","0.7051836180990777","0.7317448898896096","0.7664523222479527","True","0.061268704148874975","0.7231628896829296","0.762272328255059","0.8409428970174314","True","0.11778000733450178"
"m2_bayesian_additive","m2_bayesian_additive_irt","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","12","nuts","True","ok","500","4500","5000","50","100","1000","1000","2","0.95","500","0.95","5.0","1.0","2.034","0.444","3.551","1.01","630.0","0.2049460568698721","0.05790459792270474","0.2957941621082852","0.08851907474355383","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6855785071004941","0.021285559019272888","0.6165880600268449","0.6719856750938995","0.6841978063421249","0.6995039363797295","0.7282462782661363","observed_true_unobserved_posterior_mean_imputation","0.663735846114333","0.6856298090263606","0.7071955848304178","True","0.04345973871608477","0.00961803935721201","0.0344718077843164","0.07629467687390762","True","0.06667663751669561","0.4712918602339513","0.6052235008371465","0.665940496622455","True","0.19464863638850372","0.6258526457473992","0.6632483228721223","0.6934721673949127","True","0.0676195216475135","0.6626061760183466","0.6855778700452182","0.709475568100288","True","0.04686939208194141","0.6778507560700056","0.7105618398127855","0.7434792177936513","True","0.06562846172364578","0.6981829740436328","0.7574169593747393","0.847609640585711","True","0.14942666654207815"
"m2_bayesian_additive","m2_bayesian_additive_irt","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","13","nuts","True","ok","500","4500","5000","50","100","1000","1000","2","0.95","500","0.95","5.0","1.0","2.116","0.481","3.539","1.01","526.0","0.20051098074603807","0.05572006796593854","0.3009652312139979","0.09014654215963792","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6941883731410367","0.02295505720958083","0.6289889120862966","0.6844800820557465","0.6945510806079315","0.7113515406744564","0.7340427322749268","observed_true_unobserved_posterior_mean_imputation","0.6725884833517402","0.6942157498638107","0.7206031542497356","True","0.04801467089799549","0.00987522504271877","0.03824759001440771","0.07535898478304569","True","0.06548375974032691","0.4978148845638062","0.6102115566192456","0.6783571431811067","True","0.18054225861730056","0.6352490948219499","0.6695304474013444","0.7021672694115015","True","0.06691817458955163","0.6703582513429398","0.6950761546495541","0.7215310357914614","True","0.05117278444852158","0.6888585911471693","0.7203623042500712","0.7588869685889897","True","0.07002837744182044","0.7062844504775274","0.7742763062087321","0.8610199901837572","True","0.15473553970622977"
