"method","model","benchmark","model_key","mask_type","budget","requested_budget","effective_budget","budget_repaired","mask_id","converged","iterations","gradient_norm","n_obs","n_test","n_total","n_params","design_rank","final_loss","newton_jitter","reason","train_log_loss","train_brier","test_log_loss","test_brier","true_avg","true_sd","true_min","true_q25","true_q50","true_q75","true_max","pred_avg","pred_sd","pred_min","pred_q25","pred_q50","pred_q75","pred_max","sigma_intercept","sigma_prompt","sigma_item","lambda_intercept","lambda_prompt","lambda_item","alpha","prompt_eff_mean","prompt_eff_sd","item_diff_mean","item_diff_sd","score_rule"
"m1_additive","m1_penalized_additive_logistic_irt","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","True","5","7.736692863791102e-08","500","4500","5000","151","149","210.51670118009716","0.0","gradient_norm_below_tol","0.32775746642109027","0.09058660406489709","0.39977856506717785","0.12061412410979028","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6908862458795804","0.07248545158569973","0.5532352659151808","0.6280821859602621","0.6855179170135376","0.7413397601929335","0.8582776496610733","5.0","1.0","1.0","0.04","1.0","1.0","0.9599328029966638","-1.9984014443252817e-17","0.40637878874196803","-7.771561172376097e-18","0.9274001611032725","observed_true_unobserved_probability_imputation"
"m1_additive","m1_penalized_additive_logistic_irt","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","1","True","5","1.2091237865232319e-08","500","4500","5000","151","149","205.97572586364674","0.0","gradient_norm_below_tol","0.3192818927391991","0.08782639139580353","0.3954765389736403","0.1195022203493382","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.7021494786513119","0.06191726801606132","0.5622014821598161","0.6566150583669009","0.7084374620399637","0.7459196284226673","0.8138551776074627","5.0","1.0","1.0","0.04","1.0","1.0","1.017913651268569","2.220446049250313e-18","0.34159262499446363","-1.8873791418627663e-17","0.9369546764636167","observed_true_unobserved_probability_imputation"
"m1_additive","m1_penalized_additive_logistic_irt","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","2","True","5","8.782123050973225e-08","500","4500","5000","151","149","212.17644815820233","0.0","gradient_norm_below_tol","0.33162220813300547","0.09183457049889651","0.4005076058627785","0.12082133413928005","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6869849332539946","0.07565425748859304","0.5134026916733486","0.6429947306893246","0.6852998949347286","0.7282523909961429","0.8423209095259441","5.0","1.0","1.0","0.04","1.0","1.0","0.9357369567486093","-6.800116025829084e-18","0.4207530961543905","-2.6645352591003756e-17","0.9212477200556105","observed_true_unobserved_probability_imputation"
"m1_additive","m1_penalized_additive_logistic_irt","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","3","True","5","1.3823744624995582e-08","500","4500","5000","151","149","207.3346910530271","0.0","gradient_norm_below_tol","0.3220430805537492","0.0880457117030689","0.40249256419925517","0.12167062300959672","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.695866831408048","0.07261779000967171","0.5544893084844879","0.6484855554537647","0.7065976964010285","0.7506643706940075","0.8487453887780302","5.0","1.0","1.0","0.04","1.0","1.0","0.9850089976228265","2.886579864025407e-17","0.3988510360921978","0.0","0.9254672122972654","observed_true_unobserved_probability_imputation"
"m1_additive","m1_penalized_additive_logistic_irt","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","4","True","5","8.71634912292951e-08","500","4500","5000","151","149","209.21953917246339","0.0","gradient_norm_below_tol","0.3258928732470782","0.08974922189219767","0.3975695860888831","0.12058986040507903","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6964229736610098","0.07574236619173459","0.5281540225260537","0.6426238318876291","0.7004767471353415","0.7485101109607329","0.8510775444804979","5.0","1.0","1.0","0.04","1.0","1.0","0.9873004518302981","0.0","0.4222676981543214","-9.992007221626408e-18","0.9198705671701006","observed_true_unobserved_probability_imputation"
"m1_additive","m1_penalized_additive_logistic_irt","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","5","True","5","3.900936809743123e-08","500","4500","5000","151","149","205.7916919707576","0.0","gradient_norm_below_tol","0.31315727520655556","0.08367159493667768","0.3886991808199896","0.11549832273831326","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6916595201067763","0.06416073467265704","0.558940934378515","0.6420170575571186","0.6792903480266661","0.7374787295011506","0.8336621210530458","5.0","1.0","1.0","0.04","1.0","1.0","0.9651401008960848","-6.661338147750939e-18","0.36573707689482193","-3.8857805861880476e-17","0.9631305860725795","observed_true_unobserved_probability_imputation"
"m1_additive","m1_penalized_additive_logistic_irt","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","6","True","5","9.240055936676533e-09","500","4500","5000","151","149","210.93674301578105","0.0","gradient_norm_below_tol","0.32536399875139377","0.08837841018923703","0.4054355464714642","0.12214468561421593","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.683362108204462","0.06911638616935496","0.5400024202202931","0.6424495837385515","0.6835635808229732","0.7261497500091232","0.8236119881775297","5.0","1.0","1.0","0.04","1.0","1.0","0.9154641913086404","3.885780586188048e-18","0.37854011159420703","-6.661338147750939e-18","0.9505693461626443","observed_true_unobserved_probability_imputation"
"m1_additive","m1_penalized_additive_logistic_irt","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","7","True","5","4.9446795600750915e-09","500","4500","5000","151","149","210.23050998134684","0.0","gradient_norm_below_tol","0.32389723584690705","0.08782268390282524","0.39395781865187607","0.11805913522701515","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6887197931059026","0.06085742187668848","0.5648161644367297","0.645107774829876","0.6991943961502008","0.7381879175553115","0.7900234155350297","5.0","1.0","1.0","0.04","1.0","1.0","0.9415348461047301","-7.771561172376097e-18","0.3321312896001699","3.3306690738754695e-18","0.9593930958183472","observed_true_unobserved_probability_imputation"
"m1_additive","m1_penalized_additive_logistic_irt","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","8","True","5","3.45869838546173e-08","500","4500","5000","151","149","215.64271958924917","0.0","gradient_norm_below_tol","0.33711624364827847","0.09337421066012055","0.39804940171772674","0.11955149299156534","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6810832125401967","0.06890021427698638","0.5398028328648682","0.6355651846627807","0.673290754722058","0.7250969941864216","0.8435657985195134","5.0","1.0","1.0","0.04","1.0","1.0","0.9051421761311478","-8.881784197001253e-18","0.380484390201659","2.7755575615628914e-17","0.9376672863418335","observed_true_unobserved_probability_imputation"
"m1_additive","m1_penalized_additive_logistic_irt","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","9","True","6","2.04011084845509e-14","500","4500","5000","151","149","201.01513911303488","0.0","gradient_norm_below_tol","0.30675103403891785","0.082622270932558","0.4166530699154928","0.12886476694329585","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6998112476286161","0.09502589729645841","0.4740932094775702","0.6437804587974398","0.7153555054696267","0.7643582381359298","0.8597970881777677","5.0","1.0","1.0","0.04","1.0","1.0","1.0166779287567766","-3.885780586188048e-18","0.5200033543221564","3.219646771412954e-17","0.9100345641671506","observed_true_unobserved_probability_imputation"
