"method","benchmark","model_key","mask_type","budget","requested_budget","effective_budget","budget_repaired","mask_id","n_obs","n_test","n_total","train_log_loss","train_brier","test_log_loss","test_brier","true_avg","true_sd","true_min","true_q25","true_q50","true_q75","true_max","pred_avg","pred_sd","pred_min","pred_q25","pred_q50","pred_q75","pred_max"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","10","500","4500","5000","0.5436258508585067","0.1854","0.9524480099190993","0.2410444444444445","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.698","0.1609791468305312","0.4","0.6","0.7","0.8","1.0"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","11","500","4500","5000","0.5374635754252629","0.1804","0.8123244468928803","0.24151111111111115","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.716","0.1530106038742387","0.3","0.6","0.7","0.8","1.0"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","12","500","4500","5000","0.57421183299971","0.1958","0.6756830965584898","0.23393333333333335","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6859999999999999","0.14143578625175832","0.3","0.6","0.7","0.8","0.9"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","13","500","4500","5000","0.5745198864908911","0.19619999999999999","0.7848877085837402","0.2311333333333333","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6940000000000001","0.128428491975186","0.4","0.6","0.7","0.8","1.0"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","14","500","4500","5000","0.5644034297531004","0.19219999999999998","0.7930039603294362","0.23953333333333335","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6779999999999999","0.1632451518172492","0.2","0.6","0.7","0.8","1.0"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","15","500","4500","5000","0.5733522083241689","0.19560000000000002","0.6754724020736066","0.23391111111111115","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.688","0.13944496390757063","0.4","0.6","0.7","0.8","0.9"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","16","500","4500","5000","0.542741675841472","0.18619999999999998","1.0882178664752917","0.2400222222222222","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.7020000000000001","0.1531838964201165","0.3","0.6","0.7","0.8","1.0"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","17","500","4500","5000","0.5359787877843811","0.1808","0.9144649076956608","0.23928888888888888","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.7160000000000001","0.15167096502842284","0.3","0.6","0.7","0.8","1.0"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","18","500","4500","5000","0.5791340476468245","0.197","0.6657385747636749","0.23233333333333334","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6859999999999999","0.13703865088629083","0.3","0.6","0.7","0.8","0.9"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","19","500","4500","5000","0.5723089062492361","0.19579999999999997","0.7363943657739898","0.23153333333333334","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6940000000000001","0.13000784905661095","0.4","0.6","0.7","0.8","1.0"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.2","0.2","0.2","False","0","1000","4000","5000","0.5822600252905639","0.19820000000000002","0.6540021984199377","0.22685000000000002","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.706","0.09775020225460573","0.5","0.65","0.7","0.8","0.9"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.2","0.2","0.2","False","1","1000","4000","5000","0.5991071209690064","0.2056","0.6441372522283216","0.22410000000000002","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6880000000000002","0.09612916480720411","0.5","0.6","0.7","0.75","0.85"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.2","0.2","0.2","False","2","1000","4000","5000","0.5980605313845203","0.20525000000000002","0.6472677365569418","0.22512500000000002","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.685","0.10363298663247793","0.4","0.6","0.65","0.75","0.9"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.2","0.2","0.2","False","3","1000","4000","5000","0.5953246347634772","0.20375","0.6439004096542091","0.2238","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.693","0.0958368085734861","0.35","0.65","0.7","0.75","0.9"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.2","0.2","0.2","False","4","1000","4000","5000","0.5942084576092911","0.20339999999999997","0.6436309528837835","0.223125","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.7","0.08206518066482898","0.55","0.65","0.7","0.75","0.9"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.2","0.2","0.2","False","5","1000","4000","5000","0.5872227442834274","0.20060000000000003","0.6538399882987928","0.22744999999999999","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6920000000000001","0.11310100235936849","0.45","0.6","0.7","0.8","0.9"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.2","0.2","0.2","False","6","1000","4000","5000","0.5998459686125788","0.20629999999999998","0.6474763949845574","0.223825","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.684","0.10022423838165931","0.45","0.6","0.7","0.75","0.95"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.2","0.2","0.2","False","7","1000","4000","5000","0.5874407920392785","0.20055","0.6525806858355514","0.22685","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6970000000000001","0.10420251083973993","0.45","0.65","0.7","0.75","0.9"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.2","0.2","0.2","False","8","1000","4000","5000","0.5896227492666036","0.20170000000000002","0.6552578740722408","0.22690000000000002","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6940000000000001","0.10431506436302106","0.4","0.6","0.7","0.75","0.95"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.2","0.2","0.2","False","9","1000","4000","5000","0.5853106979914419","0.1998","0.655747042408249","0.22672499999999998","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.7020000000000001","0.09791708278967881","0.5","0.65","0.7","0.75","0.9"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.2","0.2","0.2","False","10","1000","4000","5000","0.60045399360222","0.2065","0.6520008915946339","0.226825","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6779999999999999","0.10980502200328933","0.4","0.6","0.7","0.75","0.9"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.2","0.2","0.2","False","11","1000","4000","5000","0.5880662426627403","0.2009","0.6552172015630363","0.227725","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6920000000000001","0.11173949295443525","0.4","0.6","0.7","0.8","0.9"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.2","0.2","0.2","False","12","1000","4000","5000","0.6190653349293687","0.21475","0.6377019551098376","0.22155000000000002","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.667","0.08666732077199524","0.45","0.6","0.65","0.7","0.9"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.2","0.2","0.2","False","13","1000","4000","5000","0.5959931397984587","0.20475","0.6523017074983725","0.226125","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6870000000000002","0.10242468611878003","0.45","0.6","0.7","0.75","0.9"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.2","0.2","0.2","False","14","1000","4000","5000","0.5819931902688187","0.19815","0.6612343400314096","0.23015","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.701","0.10808632226708655","0.45","0.65","0.7","0.75","0.9"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.2","0.2","0.2","False","15","1000","4000","5000","0.6039785568453182","0.2077","0.6410147082263354","0.222275","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6880000000000002","0.08424938684449561","0.5","0.65","0.7","0.75","0.9"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.2","0.2","0.2","False","16","1000","4000","5000","0.5826306165292099","0.19835000000000003","0.6582171891901701","0.22867500000000002","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.7030000000000003","0.10321861088317873","0.5","0.6","0.7","0.8","0.9"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.2","0.2","0.2","False","17","1000","4000","5000","0.5860989823742586","0.2002","0.650862469195633","0.22582500000000003","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.696","0.10777906350777151","0.45","0.6","0.7","0.75","0.95"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.2","0.2","0.2","False","18","1000","4000","5000","0.5802927222698769","0.19710000000000003","0.6631586688005976","0.23092500000000002","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.706","0.10333223611442928","0.45","0.65","0.75","0.75","0.9"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.2","0.2","0.2","False","19","1000","4000","5000","0.5920301903175105","0.20220000000000002","0.6443325311611162","0.224125","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.7","0.08921425711997713","0.5","0.65","0.7","0.75","0.9"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.3","0.3","0.3","False","0","1500","3500","5000","0.6008631271243857","0.20673333333333335","0.6503298601279618","0.22473333333333334","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.69","0.08551564283841893","0.5333333333333333","0.6333333333333333","0.6666666666666666","0.7333333333333333","0.9333333333333333"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.3","0.3","0.3","False","1","1500","3500","5000","0.6001002980939683","0.20575555555555555","0.6409064354572744","0.22254920634920639","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6953333333333335","0.07882642603960217","0.5333333333333333","0.6333333333333333","0.7","0.7333333333333333","0.8666666666666667"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.3","0.3","0.3","False","2","1500","3500","5000","0.6100807910045823","0.21006666666666668","0.631038690098962","0.2189809523809524","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6886666666666666","0.06653388136592149","0.5333333333333333","0.6333333333333333","0.7","0.7333333333333333","0.8"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.3","0.3","0.3","False","3","1500","3500","5000","0.604107537059142","0.20771111111111115","0.6390721726564211","0.2219650793650794","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.69","0.07946818699180304","0.5333333333333333","0.6333333333333333","0.7","0.7333333333333333","0.8666666666666667"
