mask_design,budget,method,n_models,n_subjects,n_model_subjects,prompt_mae_mean_subject_mean,prompt_mae_mean_subject_std,prompt_mae_mean_subject_se,prompt_mae_std_subject_mean,prompt_mae_std_subject_std,prompt_mae_std_subject_se,prompt_rmse_mean_subject_mean,prompt_rmse_mean_subject_std,prompt_rmse_mean_subject_se,prompt_rmse_std_subject_mean,prompt_rmse_std_subject_std,prompt_rmse_std_subject_se,wasserstein_1_mean_subject_mean,wasserstein_1_mean_subject_std,wasserstein_1_mean_subject_se,wasserstein_1_std_subject_mean,wasserstein_1_std_subject_std,wasserstein_1_std_subject_se,test_log_loss_mean_subject_mean,test_log_loss_mean_subject_std,test_log_loss_mean_subject_se,test_log_loss_std_subject_mean,test_log_loss_std_subject_std,test_log_loss_std_subject_se,test_brier_mean_subject_mean,test_brier_mean_subject_std,test_brier_mean_subject_se,test_brier_std_subject_mean,test_brier_std_subject_std,test_brier_std_subject_se,converged_rate_subject_mean,converged_rate_subject_std,converged_rate_subject_se,cover_prompt_latent_95_mean_subject_mean,cover_prompt_latent_95_mean_subject_std,cover_prompt_latent_95_mean_subject_se,cover_prompt_latent_95_std_subject_mean,cover_prompt_latent_95_std_subject_std,cover_prompt_latent_95_std_subject_se,mean_interval_width_latent_95_mean_subject_mean,mean_interval_width_latent_95_mean_subject_std,mean_interval_width_latent_95_mean_subject_se,mean_interval_width_latent_95_std_subject_mean,mean_interval_width_latent_95_std_subject_std,mean_interval_width_latent_95_std_subject_se,median_interval_width_latent_95_mean_subject_mean,median_interval_width_latent_95_mean_subject_std,median_interval_width_latent_95_mean_subject_se,median_interval_width_latent_95_std_subject_mean,median_interval_width_latent_95_std_subject_std,median_interval_width_latent_95_std_subject_se,cover_prompt_predictive_95_mean_subject_mean,cover_prompt_predictive_95_mean_subject_std,cover_prompt_predictive_95_mean_subject_se,cover_prompt_predictive_95_std_subject_mean,cover_prompt_predictive_95_std_subject_std,cover_prompt_predictive_95_std_subject_se,mean_interval_width_predictive_95_mean_subject_mean,mean_interval_width_predictive_95_mean_subject_std,mean_interval_width_predictive_95_mean_subject_se,mean_interval_width_predictive_95_std_subject_mean,mean_interval_width_predictive_95_std_subject_std,mean_interval_width_predictive_95_std_subject_se,median_interval_width_predictive_95_mean_subject_mean,median_interval_width_predictive_95_mean_subject_std,median_interval_width_predictive_95_mean_subject_se,median_interval_width_predictive_95_std_subject_mean,median_interval_width_predictive_95_std_subject_std,median_interval_width_predictive_95_std_subject_se,cover_avg_latent_95_mean_subject_mean,cover_avg_latent_95_mean_subject_std,cover_avg_latent_95_mean_subject_se,cover_avg_latent_95_std_subject_mean,cover_avg_latent_95_std_subject_std,cover_avg_latent_95_std_subject_se,avg_interval_width_latent_95_mean_subject_mean,avg_interval_width_latent_95_mean_subject_std,avg_interval_width_latent_95_mean_subject_se,avg_interval_width_latent_95_std_subject_mean,avg_interval_width_latent_95_std_subject_std,avg_interval_width_latent_95_std_subject_se,cover_avg_predictive_95_mean_subject_mean,cover_avg_predictive_95_mean_subject_std,cover_avg_predictive_95_mean_subject_se,cover_avg_predictive_95_std_subject_mean,cover_avg_predictive_95_std_subject_std,cover_avg_predictive_95_std_subject_se,avg_interval_width_predictive_95_mean_subject_mean,avg_interval_width_predictive_95_mean_subject_std,avg_interval_width_predictive_95_mean_subject_se,avg_interval_width_predictive_95_std_subject_mean,avg_interval_width_predictive_95_std_subject_std,avg_interval_width_predictive_95_std_subject_se
balanced,200.0,Avg,5,10,50,0.2841906327863562,0.012030196028495574,0.0017013266381505385,0.01588813661930143,0.0053884029773184836,0.0007620352570055364,0.33431577594147094,0.01553020456871632,0.002196302592750722,0.016366335479192057,0.0039037602321335516,0.000552075066453601,0.2665104251926711,0.01351148354426442,0.0019108123276079636,0.015456436497780472,0.005278754524627724,0.0007465286241166867,4.525501396540757,0.3957281723121482,0.055964414829695705,0.3628797433466929,0.09505813837875253,0.013443250850917023,0.3430090223872002,0.028348555678959025,0.004009091191487267,0.011276524835809059,0.0027555016313451854,0.00038968677781895495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
balanced,200.0,PE-Rasch,5,10,50,0.12350276053413378,0.023873540013426574,0.003376228406884462,0.015152956880753703,0.003659670392780767,0.0005175555503285832,0.16081440291430446,0.024344443663093927,0.003442824239677518,0.01711446310971314,0.0038555409825364088,0.0005452558347788278,0.10411118832272406,0.025426766296480677,0.0035958877743774084,0.01543823742828885,0.003628240170528858,0.0005131106456708782,0.5053987173183732,0.13138901110129975,0.018581212144624725,0.040332674155353965,0.012438696942709566,0.001759097391462862,0.13786420352574472,0.03435421641600293,0.004858419878021177,0.01160275820944407,0.002602302943170785,0.00036802121156355455,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
balanced,200.0,BayPIRE,5,10,50,0.026589469917273477,0.005839595206899167,0.0008258434740365721,0.005474719943728865,0.0028225673659031656,0.0003991713049571959,0.03253464771220607,0.007048138850020164,0.0009967573551187226,0.006110486188133375,0.0030532931245991473,0.00043180085467086385,0.019256506053789087,0.004534051752305643,0.0006412117480612137,0.0075427095058842,0.0034696756921098752,0.0004906862420818041,0.35973653386187854,0.08603261143243367,0.012166848589412228,0.014604332400084968,0.00396096557617743,0.0005601651237923082,0.10473551009951684,0.03517275791794645,0.004974179127362553,0.005813530856288131,0.0015691289145049565,0.00022190833920046821,1.0,0.0,0.0,0.9975799999999999,0.0028577856419805562,0.00040415192132440045,0.004854041069253582,0.0055873253845294246,0.0007901671336192981,0.25179493249772616,0.06703616106157387,0.009480344814270493,0.037899386196616855,0.014919703594068497,0.002109964716931828,0.250293420455052,0.06498048816886384,0.00918962876580317,0.036955555461699034,0.014282305528980799,0.0020198230181040886,0.99968,0.0006833291853200805,9.663734014450158e-05,0.000872854498914718,0.001767145526602226,0.0002499121170407813,0.27387853990859173,0.062264841159565244,0.008805578282686367,0.035857599688401666,0.014695983404459061,0.0020783259042995933,0.2723574537458918,0.06026658082360287,0.008522981595859347,0.03503505322580908,0.014177300345690211,0.0020049730426711866,0.988,0.03282607226593159,0.004642307659791976,0.03794733192202055,0.10380515499762827,0.014680265804188715,0.09119507002233038,0.010608535697068575,0.0015002735059713493,0.0039578958822508,0.0009984984138870375,0.00014120899989270724,0.99,0.030304576336566316,0.004285714285714285,0.03162277660168379,0.09583148474999098,0.013552618543578768,0.09195375756668725,0.010470764219949079,0.0014807896768262926,0.0038353434733318227,0.001031243149715296,0.00014583980484317196
balanced,400.0,Avg,5,10,50,0.19055254189491333,0.011962784314559313,0.001691793182139391,0.013154738205798351,0.003184356529978531,0.00045033601921269656,0.23250797399792117,0.009891265055634589,0.0013988361190705502,0.014646160445614684,0.00343620479835234,0.00048595274289213854,0.1732786699254967,0.011404231922153368,0.0016128019452757484,0.012899307512873685,0.00312033750770822,0.00044128236225824264,1.8692049016963268,0.0926063339801577,0.013096513347639142,0.23909552199633743,0.06688233255510036,0.00945859017825705,0.28506583144635905,0.022899828970808105,0.0032385248706541135,0.007304598052264837,0.001804648572681459,0.0002552158486803367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
balanced,400.0,PE-Rasch,5,10,50,0.08550909992738803,0.021056998591755416,0.002977909299133167,0.010339017368808606,0.003116429354499676,0.0004407296659311072,0.12179736027119016,0.022950504716245716,0.0032456915033022373,0.013298440106259992,0.0036109486075707716,0.0005106652493858828,0.06643692851482182,0.019150986919666074,0.0027083585434621504,0.010655880128325204,0.0029279888149134478,0.00041408014925273234,0.46890392655723473,0.17904748134477452,0.025321137642652383,0.03892574124784638,0.01518631156401083,0.0021476687776247486,0.1126549662218375,0.036236455832875124,0.005124608729118564,0.008970209803392977,0.0024828301067274278,0.0003511252010002167,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
balanced,400.0,BayPIRE,5,10,50,0.022026006429885784,0.005195187500163518,0.0007347104621802423,0.0028189846499049377,0.001417525434298859,0.0002004683694194258,0.02724541636929424,0.006348208898713282,0.0008977723121337892,0.003197202612478697,0.0015127655766135712,0.00021393735951380678,0.016442454509005836,0.003687690866749599,0.0005215182437596677,0.0039622924861410485,0.0021147849749585906,0.0002990757593089285,0.2657686112811055,0.062325159313329985,0.008814108557797507,0.009378110824738908,0.0024139377645601037,0.000341382352536549,0.07499475177720849,0.02247409366591678,0.003178316806438278,0.003233529339061672,0.0008823034512769714,0.0001247765506924482,1.0,0.0,0.0,0.97084,0.02463559727429446,0.0034839995782468876,0.02601415478411149,0.01851203493390024,0.0026179970870646237,0.13588756791712012,0.030382870166020853,0.004296786705260758,0.020695608214538756,0.010081168729811005,0.001425692554227027,0.1357325620694996,0.030242169261127414,0.004276888592466911,0.020627645900212332,0.010032408387975906,0.0014187968005541125,0.9963600000000001,0.0048687256850143456,0.0006885417895221525,0.0057264488671653615,0.005948284784366426,0.0008412145014908521,0.16401562079562063,0.030229871125825557,0.004275149373493332,0.018108308493173214,0.00926051260319984,0.0013096342517972188,0.16388606129249386,0.02979488560984722,0.004213633131880091,0.01820177192441242,0.009254762454751335,0.0013088210580050655,0.972,0.04965184913423647,0.007021831844254003,0.08432740427115677,0.14443572274383903,0.020426295799549726,0.05290501662360019,0.004969490621899721,0.0007027921035576492,0.0022322242713110198,0.00041957508346780796,5.9336877347399736e-05,0.9740000000000001,0.048697315854455164,0.006886840453253684,0.07800284895082002,0.1409555984188765,0.019934131897639075,0.053793362457084104,0.00504744960811365,0.0007138171691189087,0.002247267961567402,0.00044553259380582163,6.300782366394562e-05
balanced,800.0,Avg,5,10,50,0.131642450058364,0.006178708309367686,0.0008738013089055119,0.009269832468319103,0.0019884810494308564,0.00028121368686270017,0.1629228348775795,0.0073493040333767155,0.0010393485438004641,0.01044028166522445,0.0021667055765841104,0.00030641844120746654,0.11393298225564098,0.0075857674812777115,0.0010727895253031733,0.009469997936630318,0.0019453625659980231,0.00027511581245673295,0.8907763272912764,0.05694277809558575,0.008052924906197896,0.08747716130820545,0.023521616301527715,0.0033264588782556575,0.25746047094777064,0.020704423226083346,0.0029280476127439576,0.0038751807531914955,0.0008122526713261481,0.00011486987438632145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
balanced,800.0,PE-Rasch,5,10,50,0.06931170571393688,0.014782145062889298,0.0020905110028904533,0.005667619824461718,0.001671778092010752,0.00023642512509998212,0.09179869633503632,0.016170081005950018,0.0022867947863286094,0.007808728660902594,0.0019427591124299237,0.0002747476285222315,0.05182223639013716,0.012828576066756813,0.001814234625954238,0.0059542395866443495,0.0013991778928774208,0.0001978736352279858,0.37473224053205295,0.09871884357349923,0.013960952744343067,0.026578965848650767,0.008711248020401968,0.001231956509564824,0.09386522270506693,0.026711784148799926,0.0037776167418415514,0.004588232514949286,0.0012778751724499692,0.0001807188399898604,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
balanced,800.0,BayPIRE,5,10,50,0.02027286016780332,0.004815263642268223,0.0006809811149297788,0.0014920143057471419,0.0005942552894765847,8.404038898897356e-05,0.025119334166032802,0.005949101564126961,0.0008413300115923341,0.001779800031325842,0.0007510308236772745,0.00010621179766046381,0.014037175124452895,0.0034524872336740894,0.0004882554269781866,0.002438790456872962,0.0009848678608884096,0.00013928134860137674,0.22551750656571798,0.060055360289901716,0.008493110501518162,0.0058156659435909756,0.0014673219825444147,0.0002075106648082489,0.0656742664343804,0.020871651622108627,0.0029516972793112426,0.0017806364142866598,0.0005022784420906856,7.103289848922767e-05,0.99,0.058028845747399714,0.008206518066482897,0.9070199999999999,0.04282688932177531,0.006056636771310612,0.051698426838521376,0.0195065369640766,0.0027586409129529226,0.09168309778255163,0.018850843956417233,0.0026659119185344143,0.015618529552597063,0.006728660915767182,0.0009515763523687717,0.0916791166968105,0.01878797555760789,0.002657020984310329,0.015598902426117854,0.00668693898051702,0.0009456759797008486,0.98848,0.008965330047306848,0.0012678891344052366,0.011245502268702173,0.007214310140784679,0.0010202575244263445,0.12464856411007469,0.02354173536956681,0.0033293041441439766,0.011901683629215913,0.005221251904114437,0.0007383965255364983,0.12464481790173028,0.023636071131272415,0.003342645235506063,0.012028369719959813,0.005149162332418801,0.0007282015205367347,0.9660000000000001,0.06580738746446296,0.009306569985658472,0.08977195188839189,0.15557259094386047,0.02200128680463292,0.03295907685564647,0.0036373738807657743,0.0005144023473600615,0.0011881252430889062,0.00029839483267333854,4.219940193086857e-05,0.97,0.06468132241526725,0.009147320339189783,0.07712284124771837,0.1492492954061822,0.021107037773805133,0.03412368672853203,0.0038623555114770326,0.0005462195547037292,0.001217472237260524,0.0002488912643079956,3.51985401540554e-05
balanced,1600.0,Avg,5,10,50,0.08893795611505624,0.00356658787812768,0.0005043916948643644,0.006640912439621066,0.0014837767767946612,0.00020983772412772465,0.11068296888671882,0.004518710958751411,0.0006390422322310177,0.0073800218824023565,0.001782470072213681,0.0002520793350648738,0.07209938592815106,0.005426113442869446,0.0007673683221880938,0.006605939329285279,0.001537708634129177,0.00021746484053636894,0.6923327963343585,0.029718986881750783,0.004202899430816006,0.015883445690172745,0.012525554154547843,0.0017713808561600226,0.24305624603290485,0.01930281956174088,0.0027298309216254634,0.002186941064303198,0.0005946009757010446,8.408927640366924e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
