model,subject,mask_design,benchmark,model_id,budget,mask_type,method,prompt_mae_mean,prompt_mae_std,prompt_rmse_mean,prompt_rmse_std,wasserstein_1_mean,wasserstein_1_std,test_log_loss_mean,test_log_loss_std,test_brier_mean,test_brier_std,converged_rate,cover_prompt_latent_95_mean,cover_prompt_latent_95_std,mean_interval_width_latent_95_mean,mean_interval_width_latent_95_std,median_interval_width_latent_95_mean,median_interval_width_latent_95_std,cover_prompt_predictive_95_mean,cover_prompt_predictive_95_std,mean_interval_width_predictive_95_mean,mean_interval_width_predictive_95_std,median_interval_width_predictive_95_mean,median_interval_width_predictive_95_std,cover_avg_latent_95_mean,cover_avg_latent_95_std,avg_interval_width_latent_95_mean,avg_interval_width_latent_95_std,cover_avg_predictive_95_mean,cover_avg_predictive_95_std,avg_interval_width_predictive_95_mean,avg_interval_width_predictive_95_std
google_gemma_7b,abstract_algebra,balanced,mmlu:abstract_algebra,google_gemma_7b,1600.0,two_way_balanced,PE-Rasch,0.0547141053371317,0.0040996839236344,0.0692973075120477,0.0048695705511935,0.0354930940353033,0.0038295774735791,0.3364847531280769,0.0106184372028721,0.1007238317029638,0.0022803051689348,1.0,,,,,,,,,,,,,,,,,,,,
google_gemma_7b,abstract_algebra,random,mmlu:abstract_algebra,google_gemma_7b,200.0,random_uniform,Avg,0.2644216614577667,0.0153068773505494,0.3312558238055896,0.0164946747588723,0.2408649947911,0.0154919142498437,4.127592183473908,0.2891527444435534,0.3169824363314966,0.0110552707740318,,,,,,,,,,,,,,,,,,,,,
google_gemma_7b,abstract_algebra,random,mmlu:abstract_algebra,google_gemma_7b,200.0,random_uniform,BayPIRE,0.0380005081295324,0.0151440113816186,0.0448542294266779,0.015430846664632,0.0319220228175401,0.0180930399012017,0.4061653450158816,0.018217318611612,0.1253991099485981,0.0074234452495152,1.0,0.99,0.02,0.2494117524249889,0.0386434830161434,0.249561775848711,0.0391455914962348,0.997,0.0067494855771055,0.2747849999999999,0.0365920246889036,0.2740249999999998,0.0377536697995485,0.8,0.4216370213557839,0.1086119086461108,0.0066292780055271,0.9,0.3162277660168379,0.1096137499999999,0.0064895756420499
google_gemma_7b,abstract_algebra,random,mmlu:abstract_algebra,google_gemma_7b,200.0,random_uniform,PE-Rasch,0.1304415325391303,0.0215990353152514,0.1831260521061993,0.0282763950178981,0.1057220889942417,0.0231876669013123,0.6923517235104651,0.0692950609009196,0.1819200479344506,0.0168307000327452,1.0,,,,,,,,,,,,,,,,,,,,
google_gemma_7b,abstract_algebra,random,mmlu:abstract_algebra,google_gemma_7b,400.0,random_uniform,Avg,0.2016149750309783,0.0115576922448399,0.2521849396938679,0.0127250976087835,0.1792064036024069,0.0115434512552589,2.5774578585848524,0.2519504138325483,0.2714646453074062,0.0070455041317566,,,,,,,,,,,,,,,,,,,,,
google_gemma_7b,abstract_algebra,random,mmlu:abstract_algebra,google_gemma_7b,400.0,random_uniform,BayPIRE,0.0281090097875092,0.0062056240395076,0.0344731053772875,0.0075894874379017,0.0188789221080992,0.0096280232635391,0.3450571475479166,0.0133635534252739,0.1044785294934714,0.0045620880168993,1.0,0.965,0.083032791380541,0.1791475511228343,0.0532191271498618,0.179517415083624,0.0532493785475642,0.993,0.018885620632287,0.2112299999999999,0.0470649951898671,0.2105124999999999,0.0464861258423771,0.9,0.3162277660168379,0.0674836878666487,0.0044753150516124,0.9,0.3162277660168379,0.0685474999999999,0.0046401242200805
google_gemma_7b,abstract_algebra,random,mmlu:abstract_algebra,google_gemma_7b,400.0,random_uniform,PE-Rasch,0.1102050223286024,0.0152409470146022,0.1526589438258452,0.0203772368608502,0.088915396242928,0.0146334223438355,0.6679921875670397,0.0513571331762228,0.1568817002339572,0.0116322980236537,1.0,,,,,,,,,,,,,,,,,,,,
google_gemma_7b,abstract_algebra,random,mmlu:abstract_algebra,google_gemma_7b,800.0,random_uniform,Avg,0.1331737481122076,0.010492232551725,0.1705500668414029,0.0147957243258755,0.1107532019916615,0.0108416367735616,1.2019885438342992,0.2077389277258219,0.2369755519333531,0.0060717077648498,,,,,,,,,,,,,,,,,,,,,
google_gemma_7b,abstract_algebra,random,mmlu:abstract_algebra,google_gemma_7b,800.0,random_uniform,BayPIRE,0.0260099644922212,0.0030165597840476,0.0321600709035595,0.0033135367279319,0.0170156484475276,0.001809035693034,0.3051578843802256,0.0082725585543026,0.0934093649919903,0.0029072354117634,1.0,0.922,0.0428952211790544,0.1241062192442008,0.0327476538712386,0.124489215672904,0.0326345968111413,0.993,0.0105934990547138,0.1627119999999999,0.0256158920344816,0.1630499999999997,0.0249267816704133,0.9,0.3162277660168379,0.0403966636180777,0.0018402181246951,1.0,0.0,0.04179425,0.0020021776512642
google_gemma_7b,abstract_algebra,random,mmlu:abstract_algebra,google_gemma_7b,800.0,random_uniform,PE-Rasch,0.0877681259657401,0.006091578380049,0.1124264397779998,0.0097716396634938,0.0670913943738529,0.0074010655412225,0.5095564114258128,0.0308763198787946,0.1285160919656497,0.0036478297596028,1.0,,,,,,,,,,,,,,,,,,,,
