budget,mask_type,method,n,prompt_mae,prompt_mae_ci95_low,prompt_mae_ci95_high,w1,w1_ci95_low,w1_ci95_high,prompt_rmse,mean_abs_error,median_abs_error,test_brier,test_log_loss,converged_rate,max_rhat_max,min_ess_min
0.6,random_uniform,m1_additive,20,0.017724450886771933,0.016766865308248058,0.018682036465295808,0.00804365678190334,0.007304876163540431,0.00878243740026625,0.022137718664768515,0.0027792967987619864,0.01034586167221815,0.0832497570296604,0.283766802963392,1.0,,
0.6,random_uniform,pe_rasch,20,0.018489309443217992,0.01757398884820804,0.019404630038227944,0.008797681048919526,0.007877755520342072,0.009717606577496981,0.023093865491562525,0.0026755743025735,0.01030421116789282,0.08199851810894636,0.28602325052595423,1.0,,
0.6,random_uniform,m2_bayesian_additive,20,0.01579446233058955,0.015001085758550964,0.01658783890262814,0.00826994914080916,0.007218681260370119,0.0093212170212482,0.019911339457022895,0.002697978622148255,0.01041938040058417,0.07969723819734284,0.25539229507210515,1.0,1.01,361.0
0.1,two_way_balanced,m0_naive,20,0.10865999999999998,0.10292884259030192,0.11439115740969803,0.08524000000000001,0.07970799536933634,0.09077200463066368,0.13618448687593368,0.00777999999999994,0.0,0.23594111111111107,0.8133823792809208,,,
0.1,two_way_balanced,m1_additive,20,0.05411930366672324,0.05121702347106498,0.0570215838623815,0.03051997767319651,0.027646589453290144,0.03339336589310288,0.06782072040363639,0.008726411574345545,0.0128034682329518,0.12083247498787801,0.3997425511717444,1.0,,
0.1,two_way_balanced,pe_rasch,20,0.08871843729853794,0.08327510481268958,0.0941617697843863,0.06740106496017734,0.061932382201154976,0.0728697477191997,0.11565755084744914,0.01124676933471724,0.015086081772910334,0.15064797556694345,1.7633049701300796,1.0,,
0.1,two_way_balanced,m2_bayesian_additive,20,0.028278714093090695,0.027011659196421744,0.029545768989759646,0.018796228288938018,0.016879813906879725,0.02071264267099631,0.03560580085645597,0.007789576449742125,0.0111025463995774,0.09013297347762741,0.3023706264520182,1.0,1.01,526.0
0.2,two_way_balanced,m0_naive,20,0.07456999999999997,0.07167759372293947,0.07746240627706047,0.05125,0.04793315925203388,0.05456684074796611,0.09183563414010373,0.00848999999999993,0.00749999999999999,0.22594749999999997,0.6506941098856863,,,
0.2,two_way_balanced,m1_additive,20,0.041265980990363556,0.03959467147509311,0.042937290505634,0.020585824498097517,0.01901845496385359,0.022153194032341443,0.05077936188973191,0.00868277665387796,0.011108127784049794,0.09978276085189522,0.3418696302981557,1.0,,
0.2,two_way_balanced,pe_rasch,20,0.0505144600800325,0.04763901136994188,0.05338990879012312,0.03201620979143347,0.0293206891695776,0.03471173041328934,0.0635634814381541,0.00827628640857569,0.012316135494436125,0.09972135729066925,0.4776995696236357,1.0,,
0.2,two_way_balanced,m2_bayesian_additive,20,0.02639516401348681,0.025046162530281645,0.027744165496691977,0.015111092158658596,0.013193567478822327,0.017028616838494864,0.03284910080987182,0.008402129588363335,0.010047850726033845,0.0839050019386732,0.2767573582023425,1.0,1.03,341.0
0.3,two_way_balanced,m0_naive,20,0.05606666666666664,0.05379469564304777,0.05833863769028551,0.03442666666666665,0.032212537751102596,0.0366407955822307,0.06901560739650464,0.00435999999999993,0.014999999999999986,0.22194158730158725,0.639135411335283,,,
0.3,two_way_balanced,m1_additive,20,0.03140942046108354,0.02958947245178207,0.03322936847038501,0.01347037332056831,0.0117893114301536,0.01515143521098302,0.03946908906785708,0.004628162498351125,0.01178256825569626,0.09086573442423088,0.3140645977690863,1.0,,
0.3,two_way_balanced,pe_rasch,20,0.035377134243061346,0.03322686759266669,0.037527400893456006,0.018761630276366688,0.016343004813796906,0.02118025573893647,0.044936812587630375,0.004768712121672423,0.01200542223210946,0.088431064342651,0.33348306824942137,1.0,,
0.3,two_way_balanced,m2_bayesian_additive,20,0.023581059902525306,0.022342308892171227,0.024819810912879384,0.013756809681614754,0.01232058374374402,0.015193035619485488,0.02943488039062634,0.004390411030313065,0.010691368525172865,0.08142986756732222,0.2643524472662274,1.0,1.01,424.0
0.6,two_way_balanced,m0_naive,20,0.02965666666666661,0.028278531029345737,0.03103480230398748,0.014596666666666619,0.013292427324731003,0.015900906008602236,0.03757045999550995,0.0020966666666666052,0.00999999999999996,0.21868388888888884,0.6303624021904908,,,
0.6,two_way_balanced,m1_additive,20,0.017925928881873335,0.01717298549088923,0.01867887227285744,0.007216645436456885,0.00663308724366218,0.00780020362925159,0.022539916288343235,0.0020961277475346225,0.0077882785629547644,0.08261827113754987,0.2817377934528901,1.0,,
0.6,two_way_balanced,pe_rasch,20,0.01866459519550977,0.01796202287577088,0.01936716751524866,0.00813827538894613,0.007517511427720949,0.008759039350171308,0.02353986412589139,0.002149765292999365,0.007460124730680025,0.08136503082735583,0.28394962784338695,1.0,,
0.6,two_way_balanced,m2_bayesian_additive,20,0.016105487738860936,0.015618464937262853,0.01659251054045902,0.00737296211728676,0.006726676211714674,0.008019248022858846,0.020075580155364606,0.0020978826357685833,0.00817136557237884,0.0788848675130412,0.25264515497937007,1.0,1.02,246.0
