method,mask_type,effective_budget_round,n,w1_mean,w1_se,prompt_mae_mean,prompt_mae_se,prompt_rmse_mean,mean_abs_error_mean,sd_abs_error_mean,q25_abs_error_mean,q50_abs_error_mean,q75_abs_error_mean,min_abs_error_mean,max_abs_error_mean,train_log_loss_mean,train_brier_mean,test_log_loss_mean,test_brier_mean,max_rhat_effective_mean,min_ess_effective_mean,max_rhat_mean,min_ess_mean,min_ess_bulk_mean,max_rhat_max,min_ess_min,converged_rate,connected_rate,cover_avg,cover_sd,cover_min,cover_q25,cover_q50,cover_q75,cover_max,avg_ci95_width_mean,sd_ci95_width_mean,min_ci95_width_mean,q25_ci95_width_mean,q50_ci95_width_mean,q75_ci95_width_mean,max_ci95_width_mean,w1_ci95_low,w1_ci95_high,prompt_mae_ci95_low,prompt_mae_ci95_high
pe_rasch,random_uniform,0.3,20,0.020802329626643384,0.0012380941460268156,0.03743718239331959,0.0009195566954688978,0.04703505576352407,0.004809328229384504,0.023158509302097806,0.01036161294160651,0.011856068768151465,0.022134923821819665,0.05806827786229055,0.02129789465566911,0.19684920404910494,0.06289926593013521,0.35881833926827317,0.09091812898292381,,,,,,,,1.0,,,,,,,,,,,,,,,,0.018375665100430826,0.023228994152855943,0.03563485127020055,0.03923951351643863
m2_bayesian_additive,random_uniform,0.3,20,0.01293683572848334,0.0006591202511175132,0.023396254566914604,0.00037728025635860353,0.029612112516765356,0.0046220492027752354,0.0120587542346742,0.012597638269456205,0.01096784572248297,0.00777771619394705,0.022954248505072848,0.05760071153915701,0.2241973979146729,0.06928187620022587,0.26780778536439726,0.08241486543040598,1.0105,643.6,1.0105,643.6,643.6,1.02,395.0,1.0,,0.9,0.9,1.0,0.8,0.6,1.0,0.3,0.020611775706576803,0.02701141174297862,0.07943616335230921,0.03149626541961728,0.02408781192741475,0.031406536311255825,0.07072519615954477,0.011644960036293015,0.014228711420673666,0.02265678526445174,0.024135723869377467
m0_naive,random_uniform,0.6,20,0.014725425819108157,0.0008277312129337589,0.0302790682801116,0.0008898425952308017,0.03811363191072044,0.004502571900970795,0.01506305915854684,0.00981419411765741,0.01039280189878538,0.012881972807082415,0.04054200292329318,0.01598422716796678,0.6141713297937172,0.21187889740167556,0.6287591594256715,0.21792855900063296,,,,,,,,,,,,,,,,,,,,,,,,0.013103072641757989,0.016347778996458326,0.02853497679345923,0.032023159766763974
m1_additive,random_uniform,0.6,20,0.00804365678190334,0.00037692888691985164,0.017724450886771933,0.000488564070675447,0.022137718664768515,0.0027792967987619864,0.0040294678388837196,0.005516778471560334,0.01034586167221815,0.008283596366878471,0.0147270901109554,0.01586504569517328,0.2584553860650637,0.07411320750857428,0.283766802963392,0.0832497570296604,,,,,,,,1.0,,,,,,,,,,,,,,,,0.007304876163540431,0.00878243740026625,0.016766865308248058,0.018682036465295808
pe_rasch,random_uniform,0.6,20,0.008797681048919526,0.0004693497594782928,0.018489309443217992,0.0004670003035765067,0.023093865491562525,0.0026755743025735,0.00627233964417698,0.005503119214229,0.01030421116789282,0.010249049674998439,0.021057466253706976,0.01508929457645076,0.21628829462684535,0.06924922741875525,0.28602325052595423,0.08199851810894636,,,,,,,,1.0,,,,,,,,,,,,,,,,0.007877755520342072,0.009717606577496981,0.01757398884820804,0.019404630038227944
m2_bayesian_additive,random_uniform,0.6,20,0.00826994914080916,0.0005363611634893064,0.01579446233058955,0.00040478396532581,0.019911339457022895,0.002697978622148255,0.00675210896519403,0.008448816168680515,0.01041938040058417,0.00441514840468076,0.01497217805143802,0.03132622013357907,0.22808272152006084,0.07177818784284096,0.25539229507210515,0.07969723819734284,1.01,508.8,1.01,508.8,508.8,1.01,361.0,1.0,,0.75,0.5,0.75,0.6,0.2,0.9,0.2,0.00819839171439373,0.011234220749764724,0.03612305398995558,0.01609443245445177,0.012968415450674588,0.01429012702905966,0.037095753847102675,0.007218681260370119,0.0093212170212482,0.015001085758550964,0.01658783890262814
m0_naive,two_way_balanced,0.1,20,0.08524000000000001,0.002822451342175338,0.10865999999999998,0.00292405990290717,0.13618448687593368,0.00777999999999994,0.10582936237536475,0.06,0.0,0.09,0.24499999999999994,0.1649999999999999,0.5640789667475952,0.19240999999999997,0.8133823792809208,0.23594111111111107,,,,,,,,,,,,,,,,,,,,,,,,0.07970799536933634,0.09077200463066368,0.10292884259030192,0.11439115740969803
m1_additive,two_way_balanced,0.1,20,0.03051997767319651,0.0014660143979114107,0.05411930366672324,0.0014807552018664607,0.06782072040363639,0.008726411574345545,0.034497974655512034,0.015362080542752371,0.0128034682329518,0.036479903224371314,0.07967379545562941,0.04030045597584075,0.3216113698577198,0.08798482008994736,0.3997425511717444,0.12083247498787801,,,,,,,,1.0,,,,,,,,,,,,,,,,0.027646589453290144,0.03339336589310288,0.05121702347106498,0.0570215838623815
pe_rasch,two_way_balanced,0.1,20,0.06740106496017734,0.002790144264807329,0.08871843729853794,0.002777210451963449,0.11565755084744914,0.01124676933471724,0.08752363894772439,0.05025793160050227,0.015086081772910334,0.06982986694032285,0.29220540460091404,0.13025214576297228,0.08277675024672204,0.02681536050898508,1.7633049701300796,0.15064797556694345,,,,,,,,1.0,,,,,,,,,,,,,,,,0.061932382201154976,0.0728697477191997,0.08327510481268958,0.0941617697843863
m2_bayesian_additive,two_way_balanced,0.1,20,0.018796228288938018,0.0009777624398256603,0.028278714093090695,0.0006464565799331378,0.03560580085645597,0.007789576449742125,0.019917808197135674,0.021083379142848364,0.0111025463995774,0.010725647073272674,0.04187061568893955,0.06755823707865764,0.21375333140328706,0.06056858692336446,0.3023706264520182,0.09013297347762741,1.0095,774.35,1.0095,774.35,774.35,1.01,526.0,1.0,,0.9,1.0,1.0,0.9,1.0,1.0,1.0,0.04575943025625724,0.05881364552662779,0.16687131101688166,0.06436248302829754,0.04842907865588392,0.06487911826937395,0.13703968255762145,0.016879813906879725,0.02071264267099631,0.027011659196421744,0.029545768989759646
m0_naive,two_way_balanced,0.2,20,0.05125,0.0016922656877378138,0.07456999999999997,0.0014757174882961714,0.09183563414010373,0.00848999999999993,0.06262216994838395,0.0375,0.00749999999999999,0.0485,0.15499999999999992,0.1049999999999999,0.5924503345903985,0.20278749999999998,0.6506941098856863,0.22594749999999997,,,,,,,,,,,,,,,,,,,,,,,,0.04793315925203388,0.05456684074796611,0.07167759372293947,0.07746240627706047
m1_additive,two_way_balanced,0.2,20,0.020585824498097517,0.0007996783337979206,0.041265980990363556,0.0008527089363624746,0.05077936188973191,0.00868277665387796,0.02155719018845107,0.010503519554298646,0.011108127784049794,0.025176707083615947,0.05562695049252668,0.021725661701868914,0.29187814783340804,0.07991839530141252,0.3418696302981557,0.09978276085189522,,,,,,,,1.0,,,,,,,,,,,,,,,,0.01901845496385359,0.022153194032341443,0.03959467147509311,0.042937290505634
pe_rasch,two_way_balanced,0.2,20,0.03201620979143347,0.0013752656233958537,0.0505144600800325,0.0014670656684135808,0.0635634814381541,0.00827628640857569,0.03768424640554163,0.017248642780535416,0.012316135494436125,0.03481879065927877,0.08417070600500065,0.0581939083854799,0.17486770089190193,0.05631611386905351,0.4776995696236357,0.09972135729066925,,,,,,,,1.0,,,,,,,,,,,,,,,,0.0293206891695776,0.03471173041328934,0.04763901136994188,0.05338990879012312
m2_bayesian_additive,two_way_balanced,0.2,20,0.015111092158658596,0.0009783289182838106,0.02639516401348681,0.000688266062859778,0.03284910080987182,0.008402129588363335,0.0134252641206969,0.01637099784010685,0.010047850726033845,0.010659163422030375,0.027782941239314546,0.056306066019404265,0.22133236474707535,0.06738409915383346,0.2767573582023425,0.0839050019386732,1.011,598.3,1.011,598.3,598.3,1.03,341.0,1.0,,0.8,0.95,0.95,0.9,0.85,0.85,0.7,0.028092923714651837,0.039879965826892384,0.11686709057920316,0.04322778678341458,0.03164320325819178,0.043381081936564224,0.0949521409380306,0.013193567478822327,0.017028616838494864,0.025046162530281645,0.027744165496691977
m0_naive,two_way_balanced,0.3,20,0.03442666666666665,0.0011296576099816605,0.05606666666666664,0.0011591688896014619,0.06901560739650464,0.00435999999999993,0.041401333165759106,0.02566666666666669,0.014999999999999986,0.03166666666666665,0.09833333333333326,0.06333333333333327,0.6040060261509539,0.2075822222222222,0.639135411335283,0.22194158730158725,,,,,,,,,,,,,,,,,,,,,,,,0.032212537751102596,0.0366407955822307,0.05379469564304777,0.05833863769028551
m1_additive,two_way_balanced,0.3,20,0.01347037332056831,0.0008576846379666883,0.03140942046108354,0.0009285449027048329,0.03946908906785708,0.004628162498351125,0.012792046765563326,0.006172780597667521,0.01178256825569626,0.014657918658379204,0.033191182770945224,0.01588843046429837,0.2787436273461263,0.077149578949844,0.3140645977690863,0.09086573442423088,,,,,,,,1.0,,,,,,,,,,,,,,,,0.0117893114301536,0.01515143521098302,0.02958947245178207,0.03322936847038501
pe_rasch,two_way_balanced,0.3,20,0.018761630276366688,0.0012339925829437663,0.035377134243061346,0.001097074821629927,0.044936812587630375,0.004768712121672423,0.020753376364801696,0.009715148027289174,0.01200542223210946,0.019481118936744004,0.050577618052675834,0.02217442564594559,0.20009414169966405,0.06405297124831208,0.33348306824942137,0.088431064342651,,,,,,,,1.0,,,,,,,,,,,,,,,,0.016343004813796906,0.02118025573893647,0.03322686759266669,0.037527400893456006
m2_bayesian_additive,two_way_balanced,0.3,20,0.013756809681614754,0.0007327683356483338,0.023581059902525306,0.0006320158216092232,0.02943488039062634,0.004390411030313065,0.013554457834486106,0.015780195105071483,0.010691368525172865,0.007317584626810506,0.03184994847494519,0.05597269543231147,0.22752356953972624,0.07021477038315913,0.2643524472662274,0.08142986756732222,1.01,635.95,1.01,635.95,635.95,1.01,424.0,1.0,,0.9,0.8,0.9,0.7,0.45,0.9,0.3,0.019642338483995995,0.02640673699815923,0.07947632590876279,0.029950792981077577,0.022749712313547506,0.030027209393236064,0.06852289861286695,0.01232058374374402,0.015193035619485488,0.022342308892171227,0.024819810912879384
m0_naive,two_way_balanced,0.6,20,0.014596666666666619,0.0006654282356814367,0.02965666666666661,0.0007031304272045263,0.03757045999550995,0.0020966666666666052,0.015174311222019926,0.00933333333333326,0.00999999999999996,0.015,0.041666666666666616,0.018333333333333302,0.6129305690994806,0.21129527777777773,0.6303624021904908,0.21868388888888884,,,,,,,,,,,,,,,,,,,,,,,,0.013292427324731003,0.015900906008602236,0.028278531029345737,0.03103480230398748
m1_additive,two_way_balanced,0.6,20,0.007216645436456885,0.00029773377183403305,0.017925928881873335,0.00038415479131842094,0.022539916288343235,0.0020961277475346225,0.004103568397899125,0.0053256296017921,0.0077882785629547644,0.006768189378310775,0.012267591619207579,0.011510955344377715,0.25942631736863614,0.07441568490176292,0.2817377934528901,0.08261827113754987,,,,,,,,1.0,,,,,,,,,,,,,,,,0.00663308724366218,0.00780020362925159,0.01717298549088923,0.01867887227285744
pe_rasch,two_way_balanced,0.6,20,0.00813827538894613,0.0003167163067475408,0.01866459519550977,0.000358455265172903,0.02353986412589139,0.002149765292999365,0.006648751526621355,0.005083261776862745,0.007460124730680025,0.00827873684065797,0.018402422059793262,0.014814851998339615,0.21724026137758407,0.06953406944936892,0.28394962784338695,0.08136503082735583,,,,,,,,1.0,,,,,,,,,,,,,,,,0.007517511427720949,0.008759039350171308,0.01796202287577088,0.01936716751524866
m2_bayesian_additive,two_way_balanced,0.6,20,0.00737296211728676,0.000329737706924534,0.016105487738860936,0.00024848102122351144,0.020075580155364606,0.0020978826357685833,0.006224322253042374,0.009370800307213895,0.00817136557237884,0.00277334509266709,0.01177021535036834,0.02952126321928721,0.22914909201550765,0.07211972288655386,0.25264515497937007,0.0788848675130412,1.0105,495.7,1.0105,495.7,495.7,1.02,246.0,1.0,,0.75,0.65,0.95,0.6,0.25,1.0,0.3,0.00783662005089088,0.011682241454466299,0.03765497977775147,0.016696677989986926,0.01255999644653168,0.014384358793723757,0.040276081424725954,0.006726676211714674,0.008019248022858846,0.015618464937262853,0.01659251054045902
