"method","mask_type","requested_budget_round","effective_budget_round","n","w1_mean","w1_se","prompt_mae_mean","prompt_mae_se","prompt_rmse_mean","mean_abs_error_mean","sd_abs_error_mean","q25_abs_error_mean","q50_abs_error_mean","q75_abs_error_mean","min_abs_error_mean","max_abs_error_mean","test_log_loss_mean","test_brier_mean","train_log_loss_mean","train_brier_mean","max_rhat_mean","max_rhat_max","min_ess_mean","min_ess_min","converged_rate","connected_rate","cover_avg_rate","cover_sd_rate","cover_min_rate","cover_q25_rate","cover_q50_rate","cover_q75_rate","cover_max_rate","avg_ci95_width_mean","sd_ci95_width_mean","min_ci95_width_mean","q25_ci95_width_mean","q50_ci95_width_mean","q75_ci95_width_mean","max_ci95_width_mean","w1_ci95_low","w1_ci95_high","prompt_mae_ci95_low","prompt_mae_ci95_high"
"m1_additive","random_uniform","0.3","0.3","20","0.015323758972693955","0.0009072156904201066","0.03333320656038556","0.0006985747837255338","0.041587296688762175","0.004905596469693729","0.015220403677724606","0.007028078682022526","0.011328395141517322","0.014892657417246147","0.04672032612012227","0.013358118362783411","0.31814279523319494","0.09241968522973824","0.2768816362910811","0.07648581663728268","","","","","1.0","","","","","","","","","","","","","","","","0.013545616219470546","0.017101901725917364","0.031963999984283516","0.03470241313648761"
"m1_additive","random_uniform","0.6","0.6","20","0.008043656781903382","0.0003769288869198498","0.01772445088677198","0.0004885640706754478","0.022137718664768564","0.0027792967987620375","0.004029467838883768","0.005516778471560379","0.010345861672218204","0.008283596366878521","0.014727090110955455","0.015865045695173313","0.2837668029633921","0.08324975702966045","0.2584553860650637","0.07411320750857431","","","","","1.0","","","","","","","","","","","","","","","","0.007304876163540476","0.008782437400266288","0.016766865308248103","0.01868203646529586"
"m1_additive","two_way_balanced","0.1","0.1","20","0.03051997767319655","0.001466014397911411","0.054119303666723274","0.0014807552018664604","0.06782072040363644","0.008726411574345594","0.03449797465551209","0.015362080542752427","0.012803468232951842","0.03647990322437136","0.07967379545562947","0.0403004559758408","0.3997425511717444","0.12083247498787805","0.3216113698577198","0.08798482008994739","","","","","1.0","","","","","","","","","","","","","","","","0.027646589453290186","0.03339336589310292","0.051217023471065014","0.057021583862381535"
"m1_additive","two_way_balanced","0.2","0.2","20","0.02058582449809758","0.000799678333797918","0.04126598099036361","0.0008527089363624756","0.05077936188973196","0.008682776653878","0.02155719018845112","0.010503519554298702","0.011108127784049838","0.025176707083615985","0.055626950492526736","0.021725661701868966","0.3418696302981557","0.09978276085189527","0.2918781478334081","0.07991839530141256","","","","","1.0","","","","","","","","","","","","","","","","0.01901845496385366","0.0221531940323415","0.03959467147509316","0.042937290505634065"
"m1_additive","two_way_balanced","0.3","0.3","20","0.013470373320568363","0.000857684637966688","0.03140942046108359","0.0009285449027048321","0.039469089067857135","0.00462816249835118","0.012792046765563373","0.006172780597667571","0.011782568255696313","0.014657918658379255","0.03319118277094527","0.015888430464298414","0.31406459776908635","0.09086573442423092","0.27874362734612634","0.07714957894984406","","","","","1.0","","","","","","","","","","","","","","","","0.011789311430153654","0.01515143521098307","0.029589472451782117","0.03322936847038506"
"m1_additive","two_way_balanced","0.6","0.6","20","0.007216645436456949","0.0002977337718340305","0.017925928881873388","0.0003841547913184223","0.022539916288343283","0.002096127747534654","0.004103568397899178","0.0053256296017921475","0.007788278562954809","0.006768189378310824","0.012267591619207641","0.01151095534437776","0.2817377934528901","0.08261827113754991","0.2594263173686362","0.07441568490176295","","","","","1.0","","","","","","","","","","","","","","","","0.006633087243662249","0.007800203629251649","0.01717298549088928","0.018678872272857496"
"m2_bayesian_additive","random_uniform","0.1","0.1","20","0.019064877629033212","0.0012039460322341672","0.02984531199560293","0.0007089712349426186","0.037353301966496215","0.009202683523797772","0.018853113764639825","0.019652789403170962","0.012230875722668861","0.012594417989347179","0.03642091447285256","0.06872555146289377","0.3157647654170622","0.09448648720885344","0.21164237643497633","0.059855147708615976","1.01","1.01","794.7","486.0","1.0","","0.95","1.0","1.0","1.0","0.95","1.0","0.95","0.052648946037488896","0.058974619482788516","0.1717325553957699","0.07219675574720978","0.05508856877336314","0.07095776437256865","0.1415538432066274","0.016705143405854245","0.02142461185221218","0.028455728375115397","0.031234895616090462"
"m2_bayesian_additive","random_uniform","0.2","0.2","20","0.016662370029202248","0.0010209706133186471","0.02634695931258549","0.00045967581777654585","0.0326199416140922","0.005951423590484006","0.018260179540131417","0.014588529612072326","0.012071497815950927","0.010531385746891492","0.03461505938825365","0.07014683387719359","0.27743531200772786","0.08428983095220255","0.22400823087042854","0.06810716768066558","1.01","1.01","746.2","481.0","1.0","","0.95","0.85","1.0","0.85","0.6","0.95","0.4","0.030022816257758673","0.034558906674194693","0.10626611160058722","0.04175956326115598","0.03212443731620625","0.04132980242092212","0.08618464647177046","0.014661267627097699","0.018663472431306796","0.025445994709743458","0.02724792391542752"
"m2_bayesian_additive","random_uniform","0.3","0.3","20","0.012936835728483398","0.0006591202511175122","0.023396254566914652","0.00037728025635860613","0.029612112516765404","0.0046220492027752745","0.012058754234674254","0.012597638269456252","0.010967845722483022","0.0077777161939470985","0.022954248505072904","0.057600711539157065","0.26780778536439726","0.08241486543040602","0.22419739791467297","0.0692818762002259","1.0105","1.02","643.6","395.0","1.0","","0.9","0.9","1.0","0.8","0.6","1.0","0.3","0.02061177570657685","0.027011411742978674","0.07943616335230927","0.03149626541961732","0.0240878119274148","0.03140653631125588","0.0707251961595448","0.011644960036293074","0.014228711420673721","0.022656785264451786","0.02413572386937752"
"m2_bayesian_additive","random_uniform","0.6","0.6","20","0.008269949140809207","0.0005363611634893031","0.01579446233058958","0.0004047839653258103","0.01991133945702294","0.0026979786221483005","0.00675210896519407","0.008448816168680567","0.010419380400584228","0.004415148404680802","0.014972178051438068","0.03132622013357912","0.25539229507210515","0.07969723819734288","0.22808272152006087","0.071778187842841","1.01","1.01","508.8","361.0","1.0","","0.75","0.5","0.75","0.6","0.2","0.9","0.2","0.008198391714393788","0.011234220749764781","0.03612305398995564","0.016094432454451812","0.012968415450674642","0.014290127029059707","0.037095753847102717","0.007218681260370173","0.00932121702124824","0.01500108575855099","0.016587838902628167"
"m2_bayesian_additive","two_way_balanced","0.1","0.1","20","0.018796228288938066","0.0009777624398256612","0.02827871409309075","0.0006464565799331386","0.03560580085645602","0.007789576449742169","0.019917808197135713","0.02108337914284842","0.011102546399577445","0.010725647073272716","0.04187061568893959","0.06755823707865771","0.3023706264520182","0.09013297347762747","0.21375333140328712","0.06056858692336451","1.0095","1.01","774.35","526.0","1.0","","0.9","1.0","1.0","0.9","1.0","1.0","1.0","0.04575943025625729","0.058813645526627836","0.1668713110168817","0.06436248302829758","0.04842907865588397","0.06487911826937401","0.1370396825576215","0.01687981390687977","0.020712642670996362","0.0270116591964218","0.0295457689897597"
"m2_bayesian_additive","two_way_balanced","0.2","0.2","20","0.01511109215865864","0.0009783289182838082","0.026395164013486856","0.0006882660628597803","0.03284910080987187","0.008402129588363371","0.01342526412069695","0.016370997840106892","0.010047850726033902","0.010659163422030427","0.0277829412393146","0.05630606601940431","0.2767573582023425","0.08390500193867323","0.22133236474707538","0.0673840991538335","1.011","1.03","598.3","341.0","1.0","","0.8","0.95","0.95","0.9","0.85","0.85","0.7","0.028092923714651868","0.039879965826892426","0.11686709057920322","0.043227786783414615","0.03164320325819184","0.04338108193656427","0.09495214093803064","0.013193567478822376","0.017028616838494905","0.025046162530281687","0.027744165496692026"
"m2_bayesian_additive","two_way_balanced","0.3","0.3","20","0.013756809681614801","0.0007327683356483323","0.02358105990252536","0.0006320158216092255","0.029434880390626382","0.004390411030313119","0.013554457834486156","0.01578019510507153","0.010691368525172912","0.007317584626810564","0.03184994847494524","0.055972695432311516","0.2643524472662274","0.08142986756732226","0.22752356953972627","0.07021477038315917","1.01","1.01","635.95","424.0","1.0","","0.9","0.8","0.9","0.7","0.45","0.9","0.3","0.01964233848399604","0.026406736998159284","0.07947632590876283","0.02995079298107763","0.022749712313547544","0.03002720939323611","0.06852289861286698","0.01232058374374407","0.015193035619485533","0.02234230889217128","0.024819810912879443"
"m2_bayesian_additive","two_way_balanced","0.6","0.6","20","0.0073729621172867925","0.00032973770692453646","0.016105487738860978","0.00024848102122351133","0.020075580155364654","0.002097882635768622","0.006224322253042424","0.009370800307213944","0.008171365572378885","0.0027733450926671344","0.011770215350368391","0.029521263219287254","0.2526451549793701","0.07888486751304125","0.22914909201550765","0.07211972288655391","1.0105","1.02","495.7","246.0","1.0","","0.75","0.65","0.95","0.6","0.25","1.0","0.3","0.00783662005089093","0.01168224145446635","0.03765497977775152","0.016696677989986964","0.012559996446531736","0.0143843587937238","0.04027608142472599","0.006726676211714701","0.008019248022858885","0.015618464937262896","0.01659251054045906"
"pe_rasch","random_uniform","0.1","0.1","20","0.06536347920981912","0.002852212424092007","0.09005684701429985","0.0029373303178315733","0.12091040189771518","0.0144717293199283","0.08867787806225427","0.034237098106866246","0.014973496225549433","0.06492496654993607","0.32593939307776953","0.13188079781432066","1.7832031309096557","0.15553317606361716","0.09187264549013084","0.029864449088485963","","","","","0.95","","","","","","","","","","","","","","","","0.05977314285859879","0.07095381556103945","0.08429967959134997","0.09581401443724973"
"pe_rasch","random_uniform","0.2","0.2","20","0.029456831811878036","0.0016460857844268345","0.049841689456220216","0.0017946598551777876","0.06582978451352535","0.006186410140523457","0.03742110489838153","0.016281882812465103","0.012858611291282263","0.02602240860515801","0.12434642207246246","0.05715009745439903","0.5153456555690533","0.1006637642353122","0.17860531231657867","0.057600708987575786","","","","","1.0","","","","","","","","","","","","","","","","0.02623050367440144","0.03268315994935463","0.04632415614007175","0.05335922277236868"
"pe_rasch","random_uniform","0.3","0.3","20","0.020802329626643433","0.0012380941460268164","0.03743718239331965","0.0009195566954688986","0.047035055763524125","0.004809328229384557","0.023158509302097858","0.010361612941606552","0.011856068768151507","0.022134923821819714","0.05806827786229061","0.02129789465566917","0.35881833926827317","0.09091812898292387","0.196849204049105","0.06289926593013526","","","","","1.0","","","","","","","","","","","","","","","","0.01837566510043087","0.023228994152855995","0.03563485127020061","0.03923951351643869"
"pe_rasch","random_uniform","0.6","0.6","20","0.008797681048919568","0.0004693497594782915","0.01848930944321804","0.00046700030357650494","0.023093865491562577","0.0026755743025735413","0.006272339644177031","0.005503119214229041","0.010304211167892879","0.010249049674998484","0.021057466253707018","0.015089294576450802","0.2860232505259543","0.0819985181089464","0.2162882946268454","0.0692492274187553","","","","","1.0","","","","","","","","","","","","","","","","0.007877755520342117","0.009717606577497019","0.017573988848208093","0.01940463003822799"
"pe_rasch","two_way_balanced","0.1","0.1","20","0.06740106496017738","0.002790144264807329","0.08871843729853798","0.00277721045196345","0.11565755084744918","0.011246769334717282","0.08752363894772443","0.05025793160050231","0.015086081772910376","0.0698298669403229","0.29220540460091404","0.13025214576297234","1.7633049701300796","0.15064797556694348","0.08277675024672208","0.026815360508985114","","","","","1.0","","","","","","","","","","","","","","","","0.06193238220115502","0.07286974771919974","0.08327510481268963","0.09416176978438634"
"pe_rasch","two_way_balanced","0.2","0.2","20","0.032016209791433506","0.0013752656233958537","0.05051446008003254","0.0014670656684135804","0.06356348143815416","0.00827628640857575","0.037684246405541674","0.017248642780535468","0.012316135494436182","0.03481879065927882","0.08417070600500068","0.05819390838547994","0.4776995696236358","0.0997213572906693","0.17486770089190196","0.05631611386905355","","","","","1.0","","","","","","","","","","","","","","","","0.029320689169577634","0.03471173041328938","0.04763901136994192","0.05338990879012316"
"pe_rasch","two_way_balanced","0.3","0.3","20","0.018761630276366733","0.0012339925829437648","0.03537713424306138","0.0010970748216299277","0.04493681258763042","0.0047687121216724694","0.020753376364801745","0.009715148027289228","0.012005422232109497","0.019481118936744053","0.05057761805267589","0.022174425645945635","0.3334830682494214","0.08843106434265105","0.20009414169966408","0.06405297124831211","","","","","1.0","","","","","","","","","","","","","","","","0.016343004813796955","0.02118025573893651","0.03322686759266672","0.03752740089345604"
"pe_rasch","two_way_balanced","0.6","0.6","20","0.008138275388946185","0.0003167163067475419","0.01866459519550981","0.00035845526517290434","0.02353986412589144","0.002149765292999417","0.0066487515266214076","0.005083261776862791","0.007460124730680079","0.008278736840658024","0.018402422059793304","0.014814851998339661","0.28394962784338695","0.08136503082735587","0.21724026137758412","0.06953406944936895","","","","","1.0","","","","","","","","","","","","","","","","0.007517511427721003","0.008759039350171367","0.017962022875770915","0.019367167515248702"
